c 101 25
35 35 0 230
41 49 15 204
35 17 18 202
55 45 54 187
55 20 138 169
15 30 20 199
25 30 76 131
20 50 21 170
10 43 87 112
55 60 88 115
30 60 107 150
20 65 57 86
50 35 15 192
30 25 147 180
15 10 32 187
30 5 50 81
10 20 29 139
5 30 124 189
20 40 47 136
15 60 32 146
45 65 79 182
45 20 18 195
45 10 76 127
55 5 58 87
65 35 58 190
65 20 153 186
45 30 58 208
35 40 8 75
41 37 6 136
64 42 29 150
40 60 49 102
31 52 17 198
35 69 67 186
53 52 24 92
65 55 36 183
63 65 116 178
2 60 41 112
20 20 42 198
5 5 74 101
60 12 33 110
40 25 65 114
42 7 72 131
24 12 25 91
23 3 82 185
11 14 59 88
6 38 29 99
2 48 63 180
8 56 34 176
13 52 27 192
6 68 93 132
47 47 41 203
49 58 36 149
27 43 11 195
37 31 87 112
57 29 90 197
63 23 126 155
53 12 106 163
32 12 48 163
36 26 178 210
21 24 17 202
17 34 70 201
12 24 29 132
24 58 46 79
27 69 34 172
15 77 48 107
62 77 49 113
49 73 104 159
67 5 73 102
56 39 117 176
37 47 39 70
37 56 123 198
57 68 39 148
47 16 22 197
44 17 30 135
46 13 138 169
49 11 27 192
49 42 65 90
53 43 168 199
61 52 71 130
57 48 84 109
56 37 135 198
55 54 57 140
15 47 23 196
14 37 21 198
11 31 93 118
16 22 23 177
4 18 49 148
28 18 88 107
26 52 50 107
26 35 68 211
31 67 46 153
15 19 25 194
22 22 18 53
18 24 129 199
26 27 35 174
25 24 14 205
22 27 51 204
25 21 92 183
19 21 21 198
20 26 74 101
18 18 159 195
