c 101 25
40 50 0 240
25 85 130 190
22 75 35 95
22 85 94 154
20 80 126 186
20 85 40 100
18 75 80 140
15 75 64 124
15 80 76 136
10 35 76 136
10 40 104 164
8 40 44 104
8 45 49 109
5 35 127 187
5 45 35 95
2 40 43 103
0 40 57 117
0 45 129 189
44 5 72 132
42 10 57 117
42 15 107 167
40 5 52 112
40 15 77 137
38 5 50 110
38 15 133 193
35 5 124 184
95 30 100 160
95 35 57 117
92 30 55 115
90 35 52 112
88 30 59 119
88 35 50 110
87 30 116 176
85 25 51 111
85 35 96 156
67 85 124 184
65 85 43 103
65 82 109 169
62 80 60 120
60 80 36 96
60 85 70 130
58 75 77 137
55 80 33 93
55 85 113 173
55 82 49 109
20 82 37 97
18 80 98 158
2 45 38 98
42 5 124 184
42 12 89 149
72 35 101 161
55 20 68 128
25 30 37 97
20 50 76 136
55 60 124 184
30 60 125 185
50 35 115 175
30 25 81 141
15 10 122 182
10 20 42 102
15 60 140 200
45 65 51 111
65 35 37 97
65 20 39 99
45 30 38 98
35 40 11 71
41 37 118 178
64 42 55 115
40 60 129 189
31 52 26 86
35 69 150 210
65 55 50 110
63 65 27 87
2 60 62 122
20 20 126 186
5 5 59 119
60 12 60 120
23 3 120 180
8 56 75 135
6 68 74 134
47 47 162 222
49 58 71 131
27 43 27 87
37 31 20 80
57 29 81 141
63 23 72 132
21 24 72 132
12 24 75 135
24 58 52 112
67 5 117 177
37 47 71 131
49 42 152 212
53 43 14 74
61 52 148 208
57 48 80 140
56 37 20 80
55 54 117 177
4 18 105 165
26 52 31 91
26 35 62 122
31 67 150 210
