instance,status,is_optimal,status_gap_inconsistent,objective,F_prime,best_bound,mip_gap,runtime_s,time_limit_s
035_RC101,OPTIMAL,True,False,4660.7953,1590.7953,4660.7953,0.0,10.63,600.0
035_RC102,TIME_LIMIT,False,False,4112.6713,2051.6713,4097.9805,0.003572,600.05,600.0
035_RC103,TIME_LIMIT,False,False,3782.4126,2455.4126,3689.081,0.024675,600.08,600.0
035_RC104,TIME_LIMIT,False,False,3481.5212,2815.5212,3370.3648,0.031928,600.06,600.0
035_RC105,OPTIMAL,True,False,4231.7816,1605.7816,4231.7816,0.0,284.91,600.0
035_RC106,OPTIMAL,True,False,4260.9063,1639.9063,4260.9063,0.0,582.32,600.0
035_RC107,TIME_LIMIT,False,False,3940.7636,1630.7636,3900.813,0.010138,600.06,600.0
035_RC108,TIME_LIMIT,False,False,3545.7904,1627.7904,3481.2957,0.018189,600.04,600.0
035_RC201,OPTIMAL,True,False,13429.9526,1407.9526,13429.9526,0.0,1.64,600.0
035_RC202,TIME_LIMIT,False,False,9836.6189,1898.6189,9802.609,0.003457,600.01,600.0
035_RC203,TIME_LIMIT,False,False,7337.1198,2308.1198,7315.9097,0.002891,600.04,600.0
035_RC204,TIME_LIMIT,False,False,5529.8741,2741.8741,5407.1519,0.022193,600.04,600.0
035_RC205,TIME_LIMIT,False,False,11349.0747,1411.0747,11347.6864,0.000122,600.02,600.0
035_RC206,TIME_LIMIT,False,False,11501.804,1437.804,11472.7975,0.002522,600.02,600.0
035_RC207,TIME_LIMIT,False,False,10410.9078,1482.9078,10343.7044,0.006455,600.02,600.0
035_RC208,OPTIMAL,True,False,8198.1455,1432.1455,8198.1455,0.0,3.02,600.0
