instance,status,is_optimal,objective,F_prime,best_bound,mip_gap,runtime_s,time_limit_s
050_C102,TIME_LIMIT,False,16011.512,1626.512,15900.0506,0.006961,30.01,30.0
050_C104,TIME_LIMIT,False,7190.4181,3073.4181,6295.5357,0.124455,30.07,30.0
050_C106,OPTIMAL,True,21685.1594,1208.1594,21685.1594,0.0,2.85,30.0
050_C108,TIME_LIMIT,False,18631.1117,1211.1117,18629.1117,0.000107,30.02,30.0
050_C202,TIME_LIMIT,False,60572.9156,1796.9156,60464.6858,0.001787,30.02,30.0
050_C204,TIME_LIMIT,False,25381.1867,4190.1867,23596.3752,0.07032,30.07,30.0
050_C206,OPTIMAL,True,70184.6416,1345.6416,70178.9847,8.1e-05,9.78,30.0
050_C208,OPTIMAL,True,66643.3744,1346.3744,66637.7175,8.5e-05,7.02,30.0
050_R102,TIME_LIMIT,False,4981.9459,1666.9459,4971.2515,0.002147,30.04,30.0
050_R105,TIME_LIMIT,False,5528.638,1399.638,5524.2229,0.000799,30.02,30.0
050_R108,TIME_LIMIT,False,3980.2996,3066.2996,3467.4381,0.12885,30.1,30.0
050_R111,TIME_LIMIT,False,4477.8966,1688.8966,4260.4151,0.048568,30.15,30.0
050_R202,TIME_LIMIT,False,15113.7931,1970.7931,14718.5479,0.026151,30.2,30.0
050_R205,OPTIMAL,True,16921.7868,1315.7868,16921.7868,0.0,14.91,30.0
050_R208,TIME_LIMIT,False,7400.1892,3962.1892,5760.4389,0.221582,30.16,30.0
050_R211,TIME_LIMIT,False,12261.7387,1401.7387,12192.0825,0.005681,30.1,30.0
050_RC102,TIME_LIMIT,False,6085.7989,2851.7989,5950.9255,0.022162,30.06,30.0
050_RC104,TIME_LIMIT,False,5138.5898,4198.5898,4740.3538,0.077499,30.11,30.0
050_RC106,TIME_LIMIT,False,6338.0572,2520.0572,6037.02,0.047497,30.06,30.0
050_RC108,TIME_LIMIT,False,5509.2422,2665.2422,5033.9191,0.086277,30.12,30.0
050_RC202,TIME_LIMIT,False,15666.0138,3117.0138,15119.1002,0.034911,30.18,30.0
050_RC204,TIME_LIMIT,False,8419.8109,4535.8109,7561.4268,0.101948,30.17,30.0
050_RC206,TIME_LIMIT,False,17486.467,2591.467,16927.4079,0.031971,30.15,30.0
050_RC208,OPTIMAL,True,12276.2358,2076.2358,12275.1148,9.1e-05,14.66,30.0
