instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
010_C101,10,C,1,0,OPTIMAL,50.216,1,1,1,0,0,1.0,50.216,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,1,OPTIMAL,56.4658,1,1,1,0,0,1.0,56.4658,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,2,OPTIMAL,80.3735,1,1,1,0,0,1.0,80.3735,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,3,OPTIMAL,115.3846,1,1,1,0,0,1.0,115.3846,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,4,OPTIMAL,121.8107,1,1,1,0,0,1.0,121.8107,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,5,OPTIMAL,147.1087,1,1,1,0,0,1.0,147.1087,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,6,OPTIMAL,34.8271,1,1,1,0,0,1.0,34.8271,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,7,OPTIMAL,74.9569,1,1,1,0,0,1.0,74.9569,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,8,OPTIMAL,71.3423,1,1,1,0,0,1.0,71.3423,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,1,9,OPTIMAL,64.0891,1,1,1,0,0,1.0,64.0891,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,0,OPTIMAL,242.4633,2,2,2,0,0,1.0,242.4633,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,1,OPTIMAL,230.8121,2,2,2,0,0,1.0,230.8121,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,2,OPTIMAL,150.2687,2,2,2,0,0,1.0,150.2687,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,3,OPTIMAL,128.1055,2,2,2,0,0,1.0,128.1055,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,4,OPTIMAL,192.106,2,2,2,0,0,1.0,192.106,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,5,OPTIMAL,105.3502,2,2,2,0,0,1.0,105.3502,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,6,OPTIMAL,221.9369,2,2,2,0,0,1.0,221.9369,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,7,OPTIMAL,120.7824,2,2,2,0,0,1.0,120.7824,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,8,OPTIMAL,117.45,2,2,2,0,0,1.0,117.45,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,2,9,OPTIMAL,245.5141,2,2,2,0,0,1.0,245.5141,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,0,OPTIMAL,300.6586,3,3,3,0,0,1.0,300.6586,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,1,OPTIMAL,263.4775,3,3,3,0,0,1.0,263.4775,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,2,OPTIMAL,293.447,3,3,3,0,0,1.0,293.447,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,3,OPTIMAL,246.679,3,3,3,0,0,1.0,246.679,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,4,OPTIMAL,209.223,3,3,3,0,0,1.0,209.223,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,5,OPTIMAL,263.7205,3,3,3,0,0,1.0,263.7205,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,6,OPTIMAL,124.3714,3,2,2,0,1,0.6667,123.869,0.0,0.5024,60,2.0,1,1.0
010_C101,10,C,3,7,OPTIMAL,322.6287,3,3,3,0,0,1.0,322.6287,0.0,0.0,60,2.0,1,1.0
010_C101,10,C,3,8,OPTIMAL,211.1135,3,2,2,0,1,0.6667,207.7081,0.0,3.4054,60,2.0,1,1.0
010_C101,10,C,3,9,OPTIMAL,162.9134,3,2,2,0,1,0.6667,146.3898,0.0,16.5236,60,2.0,1,1.0
010_C102,10,C,1,0,OPTIMAL,50.216,1,1,0,1,0,1.0,50.216,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,1,OPTIMAL,56.4658,1,1,1,0,0,1.0,56.4658,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,2,OPTIMAL,80.3735,1,1,1,0,0,1.0,80.3735,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,3,OPTIMAL,115.3846,1,1,1,0,0,1.0,115.3846,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,4,OPTIMAL,121.8107,1,1,1,0,0,1.0,121.8107,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,5,OPTIMAL,147.1087,1,1,1,0,0,1.0,147.1087,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,6,OPTIMAL,34.8271,1,1,1,0,0,1.0,34.8271,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,7,OPTIMAL,74.9569,1,1,1,0,0,1.0,74.9569,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,8,OPTIMAL,71.3423,1,1,1,0,0,1.0,71.3423,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,1,9,OPTIMAL,64.0891,1,1,1,0,0,1.0,64.0891,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,0,OPTIMAL,242.4633,2,2,2,0,0,1.0,242.4633,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,1,OPTIMAL,230.8121,2,2,2,0,0,1.0,230.8121,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,2,OPTIMAL,150.2687,2,2,2,0,0,1.0,150.2687,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,3,OPTIMAL,128.1055,2,2,2,0,0,1.0,128.1055,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,4,OPTIMAL,192.106,2,2,2,0,0,1.0,192.106,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,5,OPTIMAL,105.3502,2,2,2,0,0,1.0,105.3502,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,6,OPTIMAL,221.9369,2,2,2,0,0,1.0,221.9369,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,7,OPTIMAL,120.7824,2,2,2,0,0,1.0,120.7824,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,8,OPTIMAL,117.45,2,2,2,0,0,1.0,117.45,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,2,9,OPTIMAL,245.5141,2,2,2,0,0,1.0,245.5141,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,0,OPTIMAL,300.6586,3,3,3,0,0,1.0,300.6586,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,1,OPTIMAL,263.4775,3,3,3,0,0,1.0,263.4775,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,2,OPTIMAL,293.447,3,3,3,0,0,1.0,293.447,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,3,OPTIMAL,246.679,3,3,3,0,0,1.0,246.679,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,4,OPTIMAL,209.223,3,3,3,0,0,1.0,209.223,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,5,OPTIMAL,263.7205,3,3,3,0,0,1.0,263.7205,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,6,OPTIMAL,188.0542,3,3,3,0,0,1.0,188.0542,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,7,OPTIMAL,322.6287,3,3,3,0,0,1.0,322.6287,0.0,0.0,60,2.0,1,1.0
010_C102,10,C,3,8,OPTIMAL,211.1135,3,2,2,0,1,0.6667,207.7081,0.0,3.4054,60,2.0,1,1.0
010_C102,10,C,3,9,OPTIMAL,192.0259,3,3,3,0,0,1.0,192.0259,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,0,OPTIMAL,50.216,1,1,0,1,0,1.0,50.216,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,1,OPTIMAL,56.4658,1,1,1,0,0,1.0,56.4658,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,2,OPTIMAL,80.3735,1,1,1,0,0,1.0,80.3735,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,3,OPTIMAL,115.3846,1,1,1,0,0,1.0,115.3846,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,4,OPTIMAL,121.8107,1,1,1,0,0,1.0,121.8107,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,5,OPTIMAL,147.1087,1,1,1,0,0,1.0,147.1087,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,6,OPTIMAL,34.8271,1,1,1,0,0,1.0,34.8271,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,7,OPTIMAL,74.9569,1,1,1,0,0,1.0,74.9569,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,8,OPTIMAL,71.3423,1,1,1,0,0,1.0,71.3423,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,1,9,OPTIMAL,64.0891,1,1,1,0,0,1.0,64.0891,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,0,OPTIMAL,242.4633,2,2,2,0,0,1.0,242.4633,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,1,OPTIMAL,230.8121,2,2,2,0,0,1.0,230.8121,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,2,OPTIMAL,150.2687,2,2,2,0,0,1.0,150.2687,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,3,OPTIMAL,128.1055,2,2,2,0,0,1.0,128.1055,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,4,OPTIMAL,192.106,2,2,2,0,0,1.0,192.106,0.0,0.0,60,2.0,1,1.0
010_C103,10,C,2,5,OPTIMAL,105.3502,2,2,2,0,0,1.0,105.3502,0.0,0.0,60,2.0,1,1.0
